Fecha,Fecha_scrap,Strike,Vol_call,Vol_put
2024-05-10,2024-05-03,10450.0,0.1957674043447919,0.1826366157041559
2024-05-10,2024-05-03,10475.0,0.1816302475760433,0.1795184977678877
2024-05-10,2024-05-03,10500.0,0.177538308969103,0.1756174345201982
2024-05-10,2024-05-03,10525.0,0.1770539174088005,0.1710323900463881
2024-05-10,2024-05-03,10550.0,,0.1717857313707375
2024-05-10,2024-05-03,10575.0,,0.1725577677609801
2024-05-10,2024-05-03,10600.0,0.1713482389248216,0.1654346240480546
2024-05-10,2024-05-03,10625.0,,0.1693833183924872
2024-05-10,2024-05-03,10650.0,0.1523583542717194,0.1659386925468918
2024-05-10,2024-05-03,10675.0,0.165932001564566,0.1614346654378994
2024-05-10,2024-05-03,10700.0,,0.1625824777055423
2024-05-10,2024-05-03,10725.0,0.1576215191147567,0.1578279275930602
2024-05-10,2024-05-03,10750.0,0.159520984407451,0.1558429153365726
2024-05-10,2024-05-03,10775.0,0.1558595660416421,0.1560435723937333
2024-05-10,2024-05-03,10800.0,,0.1580277462825449
2024-05-10,2024-05-03,10825.0,,0.1564480518792442
2024-05-10,2024-05-03,10850.0,,0.1548781869762465
2024-05-10,2024-05-03,10875.0,0.1480809273330806,0.1449174811648283
2024-05-10,2024-05-03,10900.0,0.1446258432201955,0.1531513866784478
2024-05-10,2024-05-03,10925.0,,0.1529374716125967
2024-05-10,2024-05-03,10950.0,0.1437010487972043,0.1385998267389603
2024-05-10,2024-05-03,10975.0,0.1447793304272077,0.1375993393914423
2024-05-10,2024-05-03,11000.0,0.1459290683450095,0.1556885604042365
2024-05-10,2024-05-03,11025.0,0.145252473987365,0.1556606852444986
2024-05-10,2024-05-03,11050.0,0.1447106126295206,0.1559395671676962
2024-05-10,2024-05-03,11075.0,,0.1567444310984547
2024-05-10,2024-05-03,11100.0,0.1449741182564765,0.158384547592622
2024-05-10,2024-05-03,11125.0,0.1403095404219283,0.1373636190939059
2024-05-10,2024-05-03,11150.0,0.1374718072556038,0.1359217218925625
2024-05-10,2024-05-03,11175.0,0.1380763923374836,0.1362685928018075
2024-05-10,2024-05-03,11200.0,0.14663727838473,0.139815772832621
2024-05-10,2024-05-03,11225.0,0.1474648271321408,
2024-05-10,2024-05-03,11250.0,0.1395444121359207,0.1438439089832331
2024-05-10,2024-05-03,11275.0,0.1469427669804907,0.143721260994965
2024-05-10,2024-05-03,11300.0,0.1651168514710732,0.1624269306296896
2024-05-10,2024-05-03,11325.0,0.172712471039708,0.1343601054844741
2024-05-10,2024-05-03,11350.0,0.18023242347366,
2024-05-10,2024-05-03,11375.0,0.1876809796108953,0.1122300683098407
2024-05-10,2024-05-03,11400.0,0.1950619306603684,0.1172077061893154
2024-05-10,2024-05-03,11450.0,0.2096342201554752,
2024-05-10,2024-05-03,11500.0,0.2239725424732223,
2024-05-10,2024-05-03,11550.0,0.2380960186965054,
2024-05-10,2024-05-03,11600.0,0.2520206416266397,
