Fecha,Strike,Buy_price_call,Sell_price_call,Buy_price_put,Sell_price_put,T,Precio_call,Precio_put
2024-04-26,11275.0,4.0,9.0,177.0,207.0,0.0054757015742642,6.5,192.0
2024-04-26,11300.0,2.0,7.0,200.0,230.0,0.0054757015742642,4.5,215.0
2024-04-26,11325.0,1.0,6.0,222.0,252.0,0.0054757015742642,3.5,237.0
2024-04-26,11350.0,,5.0,241.0,281.0,0.0054757015742642,5.0,261.0
2024-04-26,11375.0,,5.0,266.0,306.0,0.0054757015742642,5.0,286.0
2024-04-26,11400.0,,5.0,290.0,330.0,0.0054757015742642,5.0,310.0
2024-04-26,11425.0,,5.0,315.0,355.0,0.0054757015742642,5.0,335.0
2024-04-26,11450.0,,5.0,340.0,380.0,0.0054757015742642,5.0,360.0
2024-04-26,11475.0,,5.0,365.0,405.0,0.0054757015742642,5.0,385.0
2024-04-26,11500.0,,5.0,390.0,430.0,0.0054757015742642,5.0,410.0
2024-04-26,11525.0,,5.0,410.0,460.0,0.0054757015742642,5.0,435.0
2024-04-26,11550.0,,5.0,433.0,483.0,0.0054757015742642,5.0,458.0
2024-04-26,11575.0,,5.0,458.0,508.0,0.0054757015742642,5.0,483.0
2024-04-26,11600.0,,5.0,483.0,533.0,0.0054757015742642,5.0,508.0
2024-04-26,11625.0,,5.0,508.0,558.0,0.0054757015742642,5.0,533.0
2024-04-26,11650.0,,5.0,533.0,583.0,0.0054757015742642,5.0,558.0
2024-04-26,11700.0,,5.0,583.0,633.0,0.0054757015742642,5.0,608.0
2024-04-26,11750.0,,5.0,633.0,683.0,0.0054757015742642,5.0,658.0
2024-04-26,11800.0,,5.0,683.0,733.0,0.0054757015742642,5.0,708.0
2024-04-26,11850.0,,5.0,733.0,783.0,0.0054757015742642,5.0,758.0
2024-04-26,11900.0,,5.0,778.0,838.0,0.0054757015742642,5.0,808.0
2024-04-26,12000.0,,5.0,879.0,939.0,0.0054757015742642,5.0,909.0
2024-04-26,12100.0,,5.0,979.0,1039.0,0.0054757015742642,5.0,1009.0
2024-04-26,12200.0,,5.0,1083.0,1143.0,0.0054757015742642,5.0,1113.0
2024-04-26,12300.0,,5.0,1183.0,1243.0,0.0054757015742642,5.0,1213.0
2024-04-26,12400.0,,5.0,1279.0,1339.0,0.0054757015742642,5.0,1309.0
2024-04-26,12500.0,,5.0,1379.0,1439.0,0.0054757015742642,5.0,1409.0
2024-04-26,12600.0,,5.0,1479.0,1539.0,0.0054757015742642,5.0,1509.0
2024-04-26,12700.0,,5.0,1579.0,1639.0,0.0054757015742642,5.0,1609.0
2024-05-03,8900.0,2100.0,2160.0,,5.0,0.0246406570841889,2130.0,5.0
2024-05-03,9000.0,2003.0,2063.0,,5.0,0.0246406570841889,2033.0,5.0
2024-05-03,9100.0,1902.0,1962.0,,5.0,0.0246406570841889,1932.0,5.0
2024-05-03,9200.0,1802.0,1862.0,,5.0,0.0246406570841889,1832.0,5.0
2024-05-03,9300.0,1702.0,1762.0,,5.0,0.0246406570841889,1732.0,5.0
2024-05-03,9400.0,1598.0,1658.0,,5.0,0.0246406570841889,1628.0,5.0
2024-05-03,9500.0,1502.0,1562.0,,5.0,0.0246406570841889,1532.0,5.0
2024-05-03,9600.0,1402.0,1462.0,,5.0,0.0246406570841889,1432.0,5.0
2024-05-03,9700.0,1302.0,1362.0,,5.0,0.0246406570841889,1332.0,5.0
2024-05-03,9750.0,1251.0,1311.0,,5.0,0.0246406570841889,1281.0,5.0
2024-05-03,9800.0,1201.0,1261.0,,5.0,0.0246406570841889,1231.0,5.0
2024-05-03,9850.0,1151.0,1211.0,,5.0,0.0246406570841889,1181.0,5.0
2024-05-03,9900.0,1099.0,1159.0,,5.0,0.0246406570841889,1129.0,5.0
2024-05-03,9950.0,1053.0,1113.0,,5.0,0.0246406570841889,1083.0,5.0
2024-05-03,10000.0,1003.0,1063.0,,5.0,0.0246406570841889,1033.0,5.0
2024-05-03,10050.0,953.0,1013.0,,5.0,0.0246406570841889,983.0,5.0
2024-05-03,10100.0,903.0,963.0,,5.0,0.0246406570841889,933.0,5.0
2024-05-03,10150.0,853.0,913.0,,5.0,0.0246406570841889,883.0,5.0
2024-05-03,10200.0,802.0,862.0,,5.0,0.0246406570841889,832.0,5.0
2024-05-03,10250.0,755.0,812.0,,5.0,0.0246406570841889,783.5,5.0
2024-05-03,10300.0,710.0,760.0,,5.0,0.0246406570841889,735.0,5.0
2024-05-03,10350.0,660.0,710.0,,5.0,0.0246406570841889,685.0,5.0
2024-05-03,10400.0,611.0,661.0,,5.0,0.0246406570841889,636.0,5.0
2024-05-03,10450.0,562.0,612.0,,5.0,0.0246406570841889,587.0,5.0
2024-05-03,10500.0,512.0,562.0,1.0,6.0,0.0246406570841889,537.0,3.5
2024-05-03,10525.0,488.0,538.0,1.0,6.0,0.0246406570841889,513.0,3.5
2024-05-03,10550.0,464.0,514.0,2.0,7.0,0.0246406570841889,489.0,4.5
2024-05-03,10575.0,439.0,489.0,3.0,8.0,0.0246406570841889,464.0,5.5
2024-05-03,10600.0,414.0,464.0,4.0,9.0,0.0246406570841889,439.0,6.5
2024-05-03,10625.0,396.0,436.0,5.0,10.0,0.0246406570841889,416.0,7.5
2024-05-03,10650.0,371.0,411.0,6.0,11.0,0.0246406570841889,391.0,8.5
2024-05-03,10675.0,349.0,389.0,8.0,13.0,0.0246406570841889,369.0,10.5
2024-05-03,10700.0,324.0,364.0,10.0,16.0,0.0246406570841889,344.0,13.0
2024-05-03,10725.0,301.0,341.0,10.0,18.0,0.0246406570841889,321.0,14.0
