Fecha,Strike,Vol_call,Vol_put
2024-05-03,10500.0,,0.32844670178100693
2024-05-03,10600.0,0.5308905041347379,
2024-05-03,10700.0,0.1707903258982191,0.2900637196707709
2024-05-03,10750.0,,0.28292694837951843
2024-05-03,10800.0,,0.22557988321611785
2024-05-03,10850.0,0.06732838976403134,0.06512051523632056
2024-05-03,10900.0,0.23094851335865135,
2024-05-03,10950.0,0.16595606596930126,
2024-05-03,10975.0,0.23753684194369376,
2024-05-03,11000.0,0.23620787339485647,0.3284221335985791
2024-05-10,10400.0,0.11885767289031446,
2024-05-10,10600.0,0.15112723009367288,0.1441659166556916
2024-05-10,10650.0,0.21167891487404877,
2024-05-10,10700.0,,0.15808691278004416
2024-05-10,10750.0,0.1456914989423381,
2024-05-10,10850.0,0.14088810857365064,
2024-05-10,10900.0,,0.14895350978874675
2024-05-10,11000.0,0.1364870870442459,
2024-05-10,11100.0,0.14940062199496132,
2024-05-17,9800.0,,0.20489229949989263
2024-05-17,9850.0,,
2024-05-17,10000.0,0.17731896896070193,0.16842149937517892
2024-05-17,10200.0,,0.1792613092342334
2024-05-17,10250.0,,0.1722566231930559
2024-05-17,10400.0,,0.16655893350548662
2024-05-17,10450.0,,0.16415810029494027
2024-05-17,10500.0,,0.12364233585807197
2024-05-17,10550.0,,0.16458479923095273
2024-05-17,10600.0,,0.15363394670369074
2024-05-17,10650.0,,0.1497606804662136
2024-05-17,10700.0,0.16665927606171854,0.1249051875150667
2024-05-17,10750.0,,0.14377256382773684
2024-05-17,10800.0,0.08293621206403268,0.13959059792714298
2024-05-17,10850.0,0.14507500151165342,
2024-05-17,10900.0,0.24492093029757322,0.14002696417284388
2024-05-17,11000.0,0.1365584169351477,0.13591718438181385
2024-05-17,11100.0,0.17346640453988024,
2024-05-17,11150.0,0.13475185007712318,
2024-05-17,11200.0,0.13439581743572776,
2024-05-17,11250.0,,0.13351840908602094
2024-05-17,11300.0,0.13452008782710403,
2024-05-17,11350.0,0.11772197438501679,
2024-05-17,11500.0,,0.11438537647594237
2024-05-17,11700.0,,
2024-05-24,10750.0,,0.13157946590393618
2024-05-24,10800.0,0.13863500710682494,
2024-05-24,10850.0,0.16686693617462747,
2024-05-24,11000.0,0.14215734820743764,
2024-05-24,11200.0,0.13227472684027636,
2024-06-21,9600.0,,0.19612648948316835
2024-06-21,9800.0,,0.186321438061892
2024-06-21,10000.0,,0.17578596434794105
2024-06-21,10200.0,0.16298856195946146,0.16461218905472344
2024-06-21,10500.0,,0.734938525163859
2024-06-21,10600.0,,0.14221561967843888
2024-06-21,10700.0,,0.15246890613921452
2024-06-21,10900.0,0.17104635917601682,0.1250702278541441
2024-06-21,11000.0,,0.12326473412879027
2024-06-21,11100.0,0.1240305621703039,0.12087566871879206
2024-06-21,11200.0,0.08156441541038964,
2024-06-21,11300.0,0.15557542587698003,
2024-06-21,11400.0,0.1329138719810058,
2024-06-21,11500.0,0.15211071810236315,
2024-07-19,9200.0,,0.21059154546580233
2024-07-19,9600.0,,0.1963891937882731
2024-07-19,9800.0,,0.18874497611171268
2024-07-19,10000.0,,0.1883241467293837
2024-07-19,10050.0,,0.1743660145598692
2024-07-19,10100.0,,0.17166476596959845
2024-07-19,10300.0,,0.1638703864905937
2024-07-19,10550.0,,0.1528208257333792
2024-07-19,10900.0,,0.14370123162616327
2024-07-19,11000.0,,0.1442987420753898
2024-07-19,11100.0,0.12280007455541811,
2024-09-20,9300.0,,0.19967830089869362
2024-09-20,9400.0,,0.19589367949983563
2024-09-20,9500.0,,0.1913886980491076
2024-09-20,10200.0,,0.16077154511366326
2024-09-20,10300.0,,0.15629593393629945
2024-09-20,10400.0,,0.1520544184103991
2024-09-20,10500.0,,0.14749509426645088
2024-09-20,10600.0,0.15244508333741735,
2024-09-20,10800.0,,0.1339148706006976
2024-09-20,11000.0,0.14056908468206894,
2024-09-20,11100.0,0.14247454563238562,
2024-09-20,11800.0,0.14142406748417055,
2024-12-20,8000.0,,0.24357815070958092
2024-12-20,9000.0,,0.23845329636579513
2024-12-20,9200.0,,0.2037879929048857
2024-12-20,9500.0,,0.19241526341454762
2024-12-20,9800.0,,0.17850901599262337
2024-12-20,10000.0,,0.1732334524472776
2024-12-20,10300.0,,0.16167656261400398
2024-12-20,10400.0,,0.15786444095040703
2024-12-20,10700.0,0.15389445054919773,
2024-12-20,11400.0,0.14450584904768057,
2024-12-20,11500.0,0.15655810556246216,
2025-06-20,11500.0,0.14692766496931323,
2025-12-19,12000.0,0.11591193710174484,
