Fecha,Strike,Vol_call,Vol_put
2024-05-03,10600.0,,
2024-05-03,10650.0,,0.21674833220428055
2024-05-03,10700.0,,
2024-05-03,10750.0,,0.20994093236207195
2024-05-03,10800.0,,0.20632148486076207
2024-05-03,10825.0,,0.29664589747650966
2024-05-03,10850.0,,0.20178359333878199
2024-05-03,10900.0,,0.4094758133599649
2024-05-03,10925.0,,0.1965742512024409
2024-05-03,10950.0,,
2024-05-03,10975.0,0.13510682700631926,
2024-05-03,11000.0,,0.19116412600979485
2024-05-03,11025.0,0.14728456251570232,
2024-05-03,11050.0,,0.19022432395758154
2024-05-03,11200.0,0.15871337351499978,0.19857822973121925
2024-05-10,10500.0,,0.17787752535247509
2024-05-10,10800.0,,0.15920343786035232
2024-05-10,10900.0,,0.1523107073452595
2024-05-10,10950.0,,0.14883775801472476
2024-05-10,11050.0,0.13501346534490885,
2024-05-17,9950.0,,0.22673773548876086
2024-05-17,10000.0,,0.23546809211078282
2024-05-17,10100.0,,
2024-05-17,10150.0,,0.23181138155774375
2024-05-17,10200.0,,0.21551954153012565
2024-05-17,10250.0,,0.22119482389999698
2024-05-17,10300.0,,0.18218046256401993
2024-05-17,10400.0,,0.17464732826255805
2024-05-17,10450.0,,0.22128419516894568
2024-05-17,10500.0,,0.20615171036544816
2024-05-17,10550.0,,0.21034024213540323
2024-05-17,10600.0,0.16131838035313076,0.16325266109210002
2024-05-17,10650.0,,0.16098284339571098
2024-05-17,10700.0,,0.23420638462734003
2024-05-17,10750.0,,0.15461718122283863
2024-05-17,10800.0,,0.2394969360124383
2024-05-17,10850.0,0.14749704360993018,0.14850090585272868
2024-05-17,10900.0,0.14465143669399985,0.14556327810617856
2024-05-17,10950.0,,0.1426612211513589
2024-05-17,11000.0,0.13868756068111823,0.2946964787485368
2024-05-17,11050.0,0.13606969342885877,0.13574707860792007
2024-05-17,11100.0,0.04401302520636509,0.1333208676352144
2024-05-17,11150.0,0.046874991848041454,0.1318897692371577
2024-05-17,11200.0,0.1316891524103233,0.13136764288583394
2024-05-17,11250.0,,0.13076667486536092
2024-05-17,11300.0,0.13059720973750513,
2024-05-17,11350.0,0.07654791422040245,
2024-05-17,11500.0,,0.1287380609297572
2024-05-24,10550.0,,0.16284198911169506
2024-05-24,10750.0,,0.1511883260182259
2024-05-24,10800.0,0.1532509795731274,0.14811099597409036
2024-05-24,10850.0,,0.14463007005601522
2024-05-24,10900.0,,0.14166603186575877
2024-05-24,10950.0,,0.13891762645096786
2024-05-24,11000.0,0.14014971572820664,
2024-06-21,9000.0,,0.21194616554985712
2024-06-21,9900.0,,0.19130088468181808
2024-06-21,10000.0,,0.2025966025969199
2024-06-21,10200.0,,0.17478843715700604
2024-06-21,10400.0,,0.16419000128746278
2024-06-21,10500.0,,0.843265692520203
2024-06-21,10600.0,,0.17916568345893913
2024-06-21,10700.0,0.15762775446090557,0.19713861587974937
2024-06-21,10800.0,,
2024-06-21,10900.0,,0.13731119248710047
2024-06-21,11000.0,0.13991316378958069,
2024-06-21,11100.0,0.06441191436474622,
2024-06-21,11200.0,0.13098167263915078,0.12238053080461836
2024-06-21,11300.0,0.07674051980893681,
2024-06-21,11400.0,0.07151388366117328,
2024-06-21,11500.0,0.12761310497958225,
2024-06-21,11550.0,0.13479942317867738,
2024-06-21,11600.0,0.13520203654642252,
2024-06-21,11650.0,0.12646201267148224,
2024-06-21,11800.0,0.12468160649309276,
2024-07-19,9200.0,,0.2274604850451178
2024-07-19,9800.0,,0.19523606148299927
2024-07-19,10250.0,,0.20205566762808888
2024-07-19,10500.0,,0.16306561561727737
2024-07-19,10900.0,,0.14578242395804225
2024-07-19,11000.0,0.12022176864993021,0.14174857809880229
2024-07-19,11100.0,0.07271617935572118,
2024-07-19,11200.0,0.11963934839228395,
2024-07-19,11300.0,0.12010180543197539,
2024-09-20,9700.0,,0.18902243445432865
2024-09-20,9800.0,,0.18517683523734965
2024-09-20,10300.0,,0.16348705863949572
2024-09-20,10400.0,,0.1589802727493861
2024-09-20,10600.0,,0.15035078704713362
2024-09-20,10800.0,,0.1416813984554375
2024-09-20,11000.0,,
2024-09-20,11100.0,0.09374105184072319,
2024-09-20,11200.0,,0.1254795089378025
2024-09-20,11800.0,0.11224642841031046,
2024-12-20,9300.0,,0.20541998074139833
2024-12-20,9800.0,,0.186713899308283
2024-12-20,10400.0,,0.16447778353011733
2024-12-20,10500.0,,0.16058839793896568
2024-12-20,11300.0,0.14685542284377576,
2024-12-20,11400.0,0.14597369216605155,
2024-12-20,11500.0,0.14510379268489723,
2025-03-21,10600.0,,0.15650057874718357
2025-06-20,11500.0,0.14829924988232654,
2025-12-19,12000.0,0.09937529305184956,
